appid,game_name,filename,status,source_title,source_url,match_score,extract_chars,extract_words
1341820,1341820_2950,1341820_As Dusk Falls.txt,all,1341820_2950,,,,
1343240,1343240_7595,1343240_Thymesia.txt,all,1343240_7595,,,,
1343370,1343370_16562,1343370_Old School RuneScape.txt,all,1343370_16562,,,,
1343400,1343400_24285,1343400_RuneScape.txt,all,1343400_24285,,,,
1345820,1345820_2916,1345820_Ragnarock.txt,all,1345820_2916,,,,
1345890,1345890_1250,1345890_Deliver Us Mars.txt,all,1345890_1250,,,,
1349230,1349230_7638,1349230_5D Chess With Multiverse Time Travel.txt,all,1349230_7638,,,,
1351080,1351080_4262,1351080_Pharaoh - A New Era.txt,all,1351080_4262,,,,
1351630,1351630_1624,1351630_Ys IX - Monstrum Nox.txt,all,1351630_1624,,,,
1353230,1353230_11524,1353230_Bomb Rush Cyberfunk.txt,all,1353230_11524,,,,
1353270,1353270_2624,1353270_Five Dates.txt,all,1353270_2624,,,,
1354830,1354830_2519,1354830_Cat Cafe Manager.txt,all,1354830_2519,,,,
1356280,1356280_1369,1356280_Kitaria Fables.txt,all,1356280_1369,,,,
1356670,1356670_5232,1356670_Sakuna - Of Rice and Ruin.txt,all,1356670_5232,,,,
1357210,1357210_1533,1357210_Galactic Civilizations IV.txt,all,1357210_1533,,,,
1359090,1359090_29541,1359090_Zero Hour.txt,all,1359090_29541,,,,
1361210,1361210_102284,"1361210_Warhammer 40,000 - Darktide.txt",all,1361210_102284,,,,
1361510,1361510_13295,1361510_Teenage Mutant Ninja Turtles - Shredder's Revenge.txt,all,1361510_13295,,,,
1363080,1363080_29010,1363080_Manor Lords.txt,all,1363080_29010,,,,
1364780,1364780_37690,1364780_Street Fighter 6.txt,all,1364780_37690,,,,
1366540,1366540_81938,1366540_Dyson Sphere Program.txt,all,1366540_81938,,,,
1367080,1367080_9820,1367080_MOBILE SUIT GUNDAM BATTLE OPERATION 2.txt,all,1367080_9820,,,,
1367590,1367590_5451,1367590_Tormented Souls.txt,all,1367590_5451,,,,
1370050,1370050_2481,1370050_Trek to Yomi.txt,all,1370050_2481,,,,
